CNTR_ID,class,distur_1,area_ha
EE,0,-1,1840041.31814301
EE,0,-1,1312233.593511556
EE,0,-1,1032209.6623473492
EE,1,0,575.964407108281
EE,1,0,75233.23235041145
EE,1,0,6738.297354728908
EE,1,0,1785.2919177309454
EE,1,1,28.98497258607241
EE,1,1,7351.141230323606
EE,1,1,902.236566610798
EE,1,1,191.6482815022547
EE,1,2,38.69637868619373
EE,1,2,41218.23268344784
EE,1,2,914.5711407477812
EE,1,2,99.62791183113268
EE,2,0,458.8143482166441
EE,2,0,174878.40618762394
EE,2,0,610.9919786492238
EE,2,0,6732.861523498667
EE,2,1,10.689944561466984
EE,2,1,2861.9322971286992
EE,2,1,86.8204066715848
EE,2,1,152.95354158246215
EE,2,2,15.668900856637926
EE,2,2,94239.2935476194
EE,2,2,111.33860710731128
EE,2,2,42.4332968413396
EE,3,0,3.2863115080253955
EE,3,0,5482.344527668286
EE,3,0,25.05493261947552
EE,3,0,59.84407371978435
EE,3,1,0.0034919023494678
EE,3,1,465.8233809300996
EE,3,1,3.7251092320817945
EE,3,1,3.163196778909068
EE,3,2,383.3208061748176
EE,3,2,3.420889215389953
EE,3,2,1.162479801664226
EE,4,0,113.87345849512054
EE,4,0,0.0247234932854422
EE,4,0,0.0671933371944501
EE,4,1,23.42178728079731
EE,4,1,0.0237183369740672
EE,4,1,0.0286741440484288
EE,4,2,2.012796487868282
EE,4,2,0.0066082101646427
EE,5,0,1605.6891770454797
EE,5,0,12199.71523001963
EE,5,0,3.35425497586433
EE,5,0,14.580192489829823
EE,5,1,1232.7132599101485
EE,5,1,1.0637718206080755
EE,5,1,1.3563815911417731
EE,5,2,198.1699954745336
EE,5,2,0.8615263819110971
EE,5,2,0.6016768627561654
EE,6,0,0.2492487513476622
EE,6,0,1.0565288694786823
EE,6,0,0.264159031199309
EE,6,0,0.0391885030308971
EE,6,1,0.4606444463945237
EE,6,1,0.0463650976318109
EE,6,1,0.015070063323374
EE,6,2,5.680330155815721
EE,6,2,0.0001354840050593
EE,6,2,0.025432793453911
EL,0,-1,2233183.03405188
EL,0,-1,8549757.39947618
EL,0,-1,3858826.854669203
EL,0,-1,1070214.0788722832
EL,1,0,0.0042297245499247
EL,1,0,7960.398390151785
EL,1,0,105.58306056614548
EL,1,0,58.71063347406752
EL,1,1,3122.2455947575795
EL,1,1,172.09205348314674
EL,1,1,62.60520542123462
EL,1,2,2124.935351848395
EL,1,2,141.3594745033946
EL,1,2,45.96234658036419
EL,2,0,0.0797624125810705
EL,2,1,0.0099671379041622
EL,2,2,0.089729550482443
EL,3,0,2.1591745099189086
EL,3,0,38805.75614649264
EL,3,0,771.545454988522
EL,3,0,475.44913340729977
EL,3,1,0.0001335789802393
EL,3,1,12904.775797354148
EL,3,1,451.74180925392415
EL,3,1,173.32502548028336
EL,3,2,0.0020589726132489
EL,3,2,17854.80048031436
EL,3,2,983.0827279492488
EL,3,2,208.2507852801914
EL,4,0,2.692181228365237
EL,4,0,21410.739152084217
EL,4,0,7.483967439679832
EL,4,0,11.873495228919834
EL,4,1,0.0035970586554286
EL,4,1,6005.533901590704
EL,4,1,4.93459372291005
EL,4,1,7.727091486378479
EL,4,2,0.0009034968978101
EL,4,2,1449.510749343356
EL,4,2,16.625584465395946
EL,4,2,9.765000887230366
EL,5,0,26.617415796956557
EL,5,0,1925.4677636099368
EL,5,0,0.5816240666969372
EL,5,0,4.147781839717057
EL,5,1,321.3277376856161
EL,5,1,0.0794239393909113
EL,5,1,0.4218020844639694
EL,5,2,12.716902027483853
EL,5,2,0.0310464504548136
EL,5,2,0.3428694491577189
EL,6,0,15477.546068726797
EL,6,0,204.679698991499
EL,6,0,39.37575488263367
EL,6,1,42.76343039281296
EL,6,1,0.098397423217585
EL,6,1,0.194720201858993
EL,6,2,13.18022164489277
EL,6,2,0.0047998582066524
ES,0,-1,660725.3643136845
ES,0,-1,32932521.941893943
ES,0,-1,10641614.50603746
ES,0,-1,4931397.6945500765
ES,1,0,8867.444340365648
ES,1,0,90.69010711711796
ES,1,0,31.235209521260625
ES,1,1,6448.158131072188
ES,1,1,131.53552205455935
ES,1,1,26.07973902900005
ES,1,2,5472.103798700006
ES,1,2,187.29905965738533
ES,1,2,45.947799487106494
ES,2,0,406.4006526533024
ES,2,0,19.059245587702883
ES,2,0,4.054688145320055
ES,2,1,141.14920505151957
ES,2,1,12.41207483986425
ES,2,1,2.2427910452986928
ES,2,2,438.064680059332
ES,2,2,5.399794940457136
ES,2,2,1.807873643286659
ES,3,0,7.342710567711375
ES,3,0,59293.05553933508
ES,3,0,662.3833569157202
ES,3,0,270.81386044203265
ES,3,1,13328.99872216034
ES,3,1,490.4734999855782
ES,3,1,203.6008978366186
ES,3,2,25470.51596778864
ES,3,2,837.7153440024009
ES,3,2,244.7324577374822
ES,4,0,44.40893410591974
ES,4,0,37174.55642833952
ES,4,0,42.77747808793335
ES,4,0,27.92041283455036
ES,4,1,12655.254940377938
ES,4,1,35.04317634563299
ES,4,1,19.53591465195968
ES,4,2,3602.604278376282
ES,4,2,61.38821632299691
ES,4,2,34.95332486228102
ES,5,0,399.0885502875436
ES,5,0,14089.056332344762
ES,5,0,22.158466619497965
ES,5,0,37.24283279105239
ES,5,1,0.0007050175721739
ES,5,1,6333.9205671217005
ES,5,1,7.109332899759955
ES,5,1,11.997745824820496
ES,5,2,0.0007050175721739
ES,5,2,1762.2687506934865
ES,5,2,6.228182699545066
ES,5,2,13.466893535431357
