CNTR_ID,region,ref_class,ntilde
NO,Boreal,2,68.44082550075048
NO,Boreal,5,7.26457783068331
NO,Boreal,6,299.84860252905514
NO,Boreal,7,149.72141995955198
PL,Central,0,428.3686187457655
PL,Central,1,10.010894086517963
PL,Central,2,0.04467934414741328
PL,Central,7,13.575807823569171
PT,SW_Europe,0,307.4685909594076
PT,SW_Europe,3,0.61952142963283
PT,SW_Europe,4,0.479435481551721
PT,SW_Europe,5,0.1677999065339056
PT,SW_Europe,6,15.40727797338965
PT,SW_Europe,7,3.8573742494842804
RO,Central,0,285.8631489194372
RO,Central,1,8.648249604366947
RO,Central,2,1.0073413079880216
RO,Central,3,0.9111720850264091
RO,Central,6,18.358911682767427
RO,Central,7,8.211176400413988
RS,SE_Europe,0,119.31004621763158
RS,SE_Europe,1,1.6559158247586705
RS,SE_Europe,7,1.034037957609745
SE,Boreal,0,393.5685294905483
SE,Boreal,1,6.114738237521538
SE,Boreal,2,96.43438984889754
SE,Boreal,3,0.06467089898826289
SE,Boreal,6,36.745798109575716
SE,Boreal,7,171.07187341446866
SI,Central,0,39.574885562981656
SI,Central,1,0.0308608900160051
SI,Central,4,0.00720280913235959
SI,Central,6,1.3870507378699846
SK,Central,0,58.79948824171858
SK,Central,6,1.4909767733439012
SK,Central,7,0.7095349849375232
TR,SE_Europe,0,1021.1375720399358
TR,SE_Europe,1,20.03879965733638
TR,SE_Europe,2,0.06914629336822772
TR,SE_Europe,3,3.607888267756003
TR,SE_Europe,4,0.242446474794736
TR,SE_Europe,7,8.904147266808938
UK,Western,0,438.5902859007801
UK,Western,1,4.822048130451791
UK,Western,2,101.73829829050365
UK,Western,3,1.5232658572434996
UK,Western,5,4.881218419454686
UK,Western,6,44.53276912662968
UK,Western,7,10.912114274936606
